serie,periodo,ret_anual,vol_anual,sharpe,max_dd,nota
momentum,2015–2026,0.16585491339403458,0.2661917524156753,0.35392977271808274,-0.5411511939269502,"estratégia isolada, fora da amostra, 10 bps"
reversao,2015–2026,-0.21331016176547002,0.3433802823626647,-0.7901862651227414,-0.9542817130724418,"estratégia isolada, fora da amostra, 10 bps"
pares,2015–2026,0.03749054539521146,0.08868675043385645,-0.6157458477513088,-0.1757293640261539,"estratégia isolada, fora da amostra, 10 bps"
carry,2015–2026,0.09904836838295261,0.010263778531458524,-0.08032520588885488,-0.025436501556534985,"estratégia isolada, fora da amostra, 10 bps"
pesos_iguais,2015–2026,0.030716380506937035,0.11693241753261806,-0.4970157745725567,-0.2669756829847978,pesos escolhidos com a amostra toda (otimista)
risk_parity,2015–2026,0.08909660103392936,0.01778294938358962,-0.5544247325542068,-0.028030164074735464,pesos escolhidos com a amostra toda (otimista)
max_sharpe,2015–2026,0.12304828552907998,0.10638813004497702,0.2484726925032969,-0.24906418179876688,pesos escolhidos com a amostra toda (otimista)
rp_alavancada_2x,2015–2026,0.07740592439858007,0.03384123001588369,-0.5969482151608254,-0.05733370389661163,"k no teto de 2,0 em 98.2% dos dias, funding a CDI"
pesos_iguais_rolante,2018–2026,0.017841052970151816,0.11172165120474543,-0.5723986421388001,-0.2669756829847978,"treino de 3 anos, teste de 1, sem olhar o futuro"
risk_parity_rolante,2018–2026,0.0780773056359454,0.017278715160715687,-0.7345397737188669,-0.023716170911021184,"treino de 3 anos, teste de 1, sem olhar o futuro"
max_sharpe_rolante,2018–2026,0.0945544690362996,0.11362180585853866,0.0782455047904959,-0.2490641817985978,"treino de 3 anos, teste de 1, sem olhar o futuro"
momentum_mesma_janela,2018–2026,0.11713102149648025,0.27372053904220794,0.2229204919445268,-0.5411511939269502,referência: a melhor isolada no período do rolante
rp_alavancada_2x_corte_10_15,2015–2026,0.07740592439858007,0.03384123001588369,-0.5969482151608254,-0.05733370389661163,dias em cheio/meio/zero: 2912/0/0
rp_alavancada_2x_corte_3_4.5,2015–2026,0.0725174879692303,0.02890183751804097,-0.8629176756232901,-0.044568274780728556,dias em cheio/meio/zero: 2570/167/175
